Course,Room,Day,Period,Timeslot
71,19,3,6,33
86,8,1,1,10
75,4,3,4,31
3,5,2,1,19
73,8,2,5,23
24,14,1,2,11
28,6,2,2,20
79,7,2,5,23
52,13,0,5,5
90,4,3,1,28
15,11,3,1,28
13,4,0,4,4
43,13,1,1,10
93,7,4,8,44
87,10,1,1,10
16,17,3,6,33
80,18,0,3,3
35,12,2,2,20
36,9,4,0,36
62,1,4,0,36
27,6,3,7,34
42,14,3,3,30
8,7,0,6,6
95,16,4,4,40
51,1,1,8,17
39,7,0,3,3
6,4,4,3,39
56,15,2,6,24
33,2,0,1,1
82,6,0,3,3
85,6,4,0,36
7,17,0,3,3
50,9,3,4,31
11,9,4,7,43
32,17,2,6,24
91,5,3,5,32
70,15,4,5,41
37,0,0,4,4
5,13,0,2,2
46,10,3,7,34
57,6,3,4,31
48,15,1,2,11
81,9,0,4,4
9,0,1,8,17
67,2,0,7,7
41,8,0,3,3
58,17,0,0,0
83,2,1,1,10
44,19,1,0,9
99,18,1,2,11
0,8,4,3,39
19,13,3,8,35
17,6,2,3,21
14,17,3,1,28
25,11,3,3,30
23,12,0,2,2
98,1,2,3,21
61,18,0,1,1
63,7,4,1,37
18,17,2,8,26
72,17,2,0,18
10,4,0,1,1
64,14,3,1,28
74,7,1,0,9
40,5,4,5,41
66,1,2,2,20
20,0,3,0,27
31,9,3,5,32
97,17,0,1,1
96,7,4,3,39
60,8,0,3,3
92,8,1,4,13
22,7,4,8,44
29,8,3,0,27
77,13,4,7,43
38,5,2,3,21
47,1,0,2,2
49,16,1,8,17
69,4,1,6,15
45,17,4,6,42
26,0,3,7,34
55,7,3,6,33
53,6,4,1,37
4,7,4,5,41
1,19,1,4,13
30,14,3,1,28
59,19,3,5,32
88,12,4,8,44
54,7,0,7,7
84,8,1,0,9
21,8,0,4,4
76,6,2,7,25
89,3,2,5,23
94,4,0,3,3
2,13,4,8,44
12,2,4,7,43
34,7,2,4,22
68,10,3,0,27
78,10,2,8,26
65,7,1,2,11
