Course,Room,Day,Period,Timeslot
281,70,0,4,4
69,79,0,5,5
358,60,3,3,30
43,51,4,2,38
97,78,3,7,34
277,75,3,5,32
271,41,0,3,3
39,63,2,0,18
376,60,4,1,37
98,50,0,5,5
373,41,3,4,31
339,22,0,1,1
29,53,1,1,10
61,65,1,0,9
387,18,0,4,4
178,23,0,1,1
195,62,1,2,11
75,16,1,1,10
11,50,3,7,34
234,15,1,1,10
190,43,3,1,28
42,66,1,3,12
370,41,3,6,33
294,41,2,8,26
232,40,2,3,21
80,27,0,8,8
156,12,4,4,40
2,57,1,5,14
142,7,4,8,44
316,24,1,1,10
252,52,3,4,31
153,76,2,0,18
102,22,2,6,24
26,48,2,5,23
205,59,0,3,3
83,7,3,0,27
222,8,4,4,40
236,6,2,4,22
88,5,4,0,36
77,10,2,8,26
289,14,0,8,8
165,35,0,1,1
105,3,1,7,16
362,78,3,7,34
386,40,1,4,13
32,76,3,6,33
7,25,2,6,24
182,1,1,1,10
81,27,3,5,32
342,26,3,0,27
136,47,2,2,20
180,3,2,2,20
65,6,4,3,39
128,4,4,0,36
199,14,2,4,22
267,42,3,2,29
265,74,2,7,25
172,56,0,4,4
93,37,2,7,25
238,51,1,4,13
389,8,0,3,3
34,58,3,4,31
185,22,4,6,42
328,52,0,4,4
54,31,4,2,38
130,63,4,6,42
248,6,0,6,6
296,74,4,7,43
201,22,0,3,3
300,33,4,6,42
169,41,3,1,28
13,38,4,8,44
161,38,0,2,2
4,3,1,0,9
120,8,2,8,26
269,4,3,8,35
62,15,2,2,20
204,76,4,5,41
321,34,0,3,3
394,35,3,0,27
20,43,0,4,4
193,38,1,4,13
399,62,0,1,1
381,56,1,6,15
133,46,0,1,1
146,46,1,4,13
45,46,2,5,23
19,23,0,7,7
228,57,4,8,44
333,23,1,7,16
12,68,4,1,37
140,54,0,5,5
109,33,3,4,31
219,40,2,7,25
282,14,4,1,37
126,40,1,8,17
349,56,0,8,8
312,48,3,2,29
314,54,3,8,35
149,64,0,7,7
261,14,2,2,20
154,32,3,1,28
106,50,1,5,14
225,47,2,6,24
99,22,2,3,21
256,78,1,5,14
297,70,0,8,8
59,57,1,6,15
350,68,0,5,5
122,60,1,8,17
63,23,3,8,35
374,33,3,7,34
229,76,1,1,10
17,41,4,2,38
361,68,3,2,29
301,18,1,1,10
395,21,1,7,16
207,39,4,6,42
115,75,4,2,38
10,14,1,0,9
384,61,4,2,38
215,12,4,3,39
348,32,1,1,10
393,26,4,6,42
84,38,2,3,21
1,66,0,6,6
292,29,2,5,23
131,77,4,0,36
111,11,2,1,19
124,43,2,0,18
274,69,3,1,28
16,65,4,6,42
273,2,4,8,44
375,14,2,1,19
390,39,4,7,43
188,5,3,0,27
147,47,3,1,28
148,52,2,1,19
253,72,4,2,38
55,47,0,8,8
82,48,0,4,4
396,70,0,3,3
250,17,4,5,41
257,14,1,5,14
336,24,4,5,41
44,20,1,1,10
231,21,0,5,5
325,15,1,7,16
157,55,1,1,10
196,78,2,7,25
155,74,3,6,33
100,39,3,6,33
343,55,3,7,34
25,29,1,7,16
141,23,1,2,11
264,74,4,5,41
67,36,1,7,16
197,72,4,0,36
183,77,1,6,15
116,79,0,8,8
240,39,3,6,33
214,60,3,5,32
345,43,1,8,17
173,38,2,7,25
359,23,4,8,44
311,30,2,7,25
47,57,1,6,15
91,19,1,0,9
163,57,2,5,23
68,2,0,0,0
27,45,0,6,6
46,63,3,6,33
73,24,0,4,4
251,7,0,3,3
220,71,3,0,27
22,45,0,1,1
355,48,0,1,1
37,58,4,2,38
247,49,3,2,29
112,65,2,3,21
64,5,4,6,42
23,73,3,4,31
187,63,0,0,0
275,33,1,5,14
356,15,2,7,25
216,7,1,1,10
5,10,0,1,1
56,48,0,3,3
233,13,3,6,33
335,12,1,8,17
127,43,2,8,26
319,67,4,2,38
49,46,2,4,22
329,47,4,5,41
279,60,0,1,1
132,16,3,6,33
245,42,1,7,16
217,56,3,6,33
254,0,1,0,9
305,34,0,1,1
107,36,3,4,31
134,29,2,1,19
392,66,2,5,23
151,28,3,3,30
113,69,1,1,10
92,27,4,1,37
309,50,0,2,2
192,65,0,6,6
94,76,2,5,23
171,55,3,6,33
276,37,1,4,13
235,4,2,3,21
303,78,2,0,18
170,75,0,0,0
210,38,4,6,42
227,75,1,8,17
18,60,1,4,13
35,67,2,2,20
174,54,2,6,24
377,24,3,2,29
360,29,4,4,40
79,22,0,4,4
283,48,2,8,26
284,16,3,4,31
226,70,0,0,0
159,69,0,3,3
9,46,4,1,37
206,35,2,0,18
306,32,3,1,28
184,36,3,6,33
388,15,0,8,8
243,57,4,1,37
0,57,4,3,39
338,56,2,3,21
367,61,2,8,26
168,79,1,3,12
58,57,4,3,39
315,0,4,1,37
302,56,1,2,11
181,70,4,3,39
218,78,4,3,39
70,48,2,8,26
72,76,0,6,6
383,31,3,3,30
398,42,4,8,44
285,32,3,5,32
337,16,3,1,28
259,20,4,8,44
189,58,0,5,5
295,55,0,0,0
369,23,3,5,32
266,48,4,5,41
299,60,3,1,28
209,55,3,5,32
123,56,1,5,14
331,5,2,3,21
186,16,0,7,7
33,2,3,0,27
280,33,0,7,7
114,59,1,4,13
51,30,1,3,12
118,7,2,2,20
166,27,0,2,2
382,58,1,5,14
224,8,3,8,35
318,25,4,6,42
344,8,4,3,39
164,76,1,2,11
352,40,2,1,19
96,38,0,8,8
380,10,1,0,9
150,73,4,0,36
8,24,2,3,21
391,12,4,5,41
60,13,3,0,27
14,37,3,2,29
347,38,1,0,9
278,15,3,4,31
57,74,4,4,40
6,47,1,8,17
158,2,1,8,17
38,24,1,7,16
71,28,1,8,17
144,78,1,6,15
290,71,4,6,42
385,36,3,7,34
177,1,2,1,19
66,10,0,6,6
31,65,2,5,23
