Course,Room,Day,Period,Timeslot
191,32,3,7,34
61,11,0,5,5
171,2,2,1,19
47,5,1,7,16
34,35,3,0,27
90,19,3,7,34
59,32,0,8,8
81,37,4,5,41
112,26,1,0,9
38,27,0,3,3
179,20,3,7,34
11,1,4,6,42
174,15,4,2,38
154,13,0,4,4
192,9,3,0,27
135,14,2,7,25
32,7,4,2,38
94,34,1,6,15
0,22,0,8,8
9,23,0,4,4
103,1,0,8,8
116,13,2,2,20
105,11,3,5,32
130,14,2,6,24
16,3,0,2,2
25,37,1,8,17
124,0,4,5,41
146,35,4,2,38
139,16,0,6,6
134,33,0,6,6
186,7,2,6,24
70,6,1,4,13
24,28,3,5,32
20,39,4,3,39
21,2,0,3,3
137,11,1,2,11
161,6,2,5,23
149,0,4,3,39
53,5,4,4,40
75,27,1,4,13
126,7,2,8,26
63,13,3,1,28
79,0,2,8,26
86,39,2,3,21
197,39,2,4,22
129,23,0,1,1
62,31,4,7,43
93,14,0,3,3
60,21,4,7,43
142,8,0,3,3
82,13,4,5,41
163,21,3,1,28
15,36,1,8,17
41,35,0,2,2
52,7,4,7,43
118,9,0,3,3
147,0,4,8,44
122,28,4,6,42
158,37,0,7,7
194,8,1,4,13
143,16,3,2,29
37,8,1,6,15
165,10,1,5,14
180,31,1,2,11
49,31,0,4,4
26,32,0,1,1
83,25,4,5,41
71,35,2,3,21
128,27,3,7,34
120,24,1,4,13
104,1,2,4,22
2,32,0,6,6
56,14,4,0,36
50,34,2,0,18
106,31,2,0,18
23,22,4,0,36
148,29,0,8,8
138,34,0,7,7
110,12,3,3,30
74,30,0,1,1
44,32,3,1,28
136,15,2,1,19
39,1,1,5,14
164,12,4,3,39
45,18,3,4,31
76,0,1,0,9
153,27,2,3,21
181,14,4,8,44
73,39,1,8,17
177,2,2,0,18
27,25,4,4,40
182,15,4,0,36
159,12,3,4,31
64,16,1,4,13
160,21,4,4,40
107,30,1,0,9
119,11,3,6,33
36,18,1,0,9
144,34,2,3,21
19,28,3,4,31
48,18,1,1,10
12,9,0,2,2
196,1,3,5,32
58,16,3,8,35
96,22,2,3,21
168,18,2,5,23
111,16,1,2,11
10,27,3,7,34
162,11,1,6,15
113,24,0,1,1
108,34,3,5,32
7,30,0,2,2
91,27,1,8,17
55,38,2,7,25
77,16,3,8,35
1,12,2,2,20
115,17,2,2,20
78,36,1,0,9
54,8,3,0,27
127,1,2,0,18
172,15,4,1,37
117,2,2,6,24
97,0,4,6,42
199,35,2,4,22
84,3,2,7,25
31,2,0,5,5
193,21,0,1,1
185,37,1,2,11
190,10,2,8,26
14,21,0,3,3
5,18,0,7,7
66,32,0,2,2
22,29,1,2,11
102,34,4,8,44
6,39,1,4,13
125,5,1,3,12
35,10,1,1,10
166,20,1,2,11
46,1,4,0,36
155,14,3,4,31
43,29,1,5,14
80,6,2,1,19
152,39,0,0,0
123,4,4,7,43
95,31,3,7,34
40,39,4,5,41
132,14,1,8,17
156,17,2,6,24
167,14,3,2,29
13,27,3,1,28
169,22,3,2,29
87,0,3,0,27
151,7,4,8,44
17,26,0,0,0
67,38,0,2,2
114,1,4,4,40
85,19,3,0,27
8,39,2,5,23
184,6,1,5,14
89,16,3,4,31
195,25,1,3,12
150,16,2,1,19
189,26,2,5,23
33,8,3,5,32
173,21,4,0,36
175,24,0,8,8
29,0,0,0,0
121,3,4,6,42
18,1,1,1,10
100,4,1,5,14
131,7,2,2,20
133,11,1,5,14
65,38,3,0,27
51,29,3,7,34
28,15,3,7,34
92,15,2,3,21
145,11,1,6,15
188,4,2,0,18
69,5,3,7,34
170,12,4,4,40
109,33,1,0,9
68,24,3,5,32
140,6,0,6,6
99,28,1,8,17
176,39,3,5,32
30,17,3,1,28
88,22,1,0,9
157,8,0,4,4
198,13,1,3,12
4,30,4,7,43
101,17,1,2,11
42,24,3,8,35
141,21,4,2,38
57,24,1,1,10
183,15,1,1,10
72,3,1,1,10
178,39,2,1,19
3,0,3,4,31
187,16,1,1,10
98,35,4,2,38
