id,lecturer,duration,groups
0,0,1,"4;6;14"
1,3,1,"5;15"
2,6,1,"6"
3,1,1,"8;12"
4,8,1,"1"
5,9,1,"2;4;9"
6,2,1,"1;5;7"
7,6,1,"5;6;13"
8,0,1,"2;7"
9,0,1,"0"
10,2,1,"8;10;14"
11,3,1,"6;9;11"
12,7,1,"7"
13,3,1,"6"
14,5,1,"2;8"
15,8,1,"0"
16,4,1,"13"
17,2,1,"0;1;11"
18,0,1,"0;1;13"
19,7,1,"6;12;14"
20,6,1,"6"
21,3,1,"12"
22,5,1,"5;11"
23,8,1,"0;3;9"
24,8,1,"3;6;7"
25,1,1,"11"
26,4,1,"10;11;15"
27,0,1,"1;3;10"
28,9,1,"15"
29,6,1,"10;14;15"
30,0,1,"6;9"
31,4,1,"7"
32,1,1,"8"
33,2,1,"7;11"
34,8,1,"1;7;9"
35,7,1,"5;9;12"
36,6,1,"14"
37,7,1,"7;10"
38,1,1,"2"
39,3,1,"8"
40,8,1,"5"
41,3,1,"7;10"
42,6,1,"13"
43,7,1,"0;3;14"
44,9,1,"7;13;15"
45,2,1,"3"
46,8,1,"5;15"
47,9,1,"11"
48,4,1,"2;7;13"
49,7,1,"0"
