id,lecturer,duration,groups
0,35,1,"63;112;115"
1,29,1,"57;65;73"
2,19,1,"7;29;99"
3,45,1,"55;63;108"
4,11,1,"121"
5,13,1,"74"
6,9,1,"34"
7,15,1,"39"
8,4,1,"5;63;121"
9,10,1,"71"
10,4,1,"92;119;120"
11,1,1,"46;51;64"
12,61,1,"106"
13,42,1,"15;109"
14,61,1,"126"
15,42,1,"113"
16,12,1,"1;88;92"
17,35,1,"1;37"
18,52,1,"116"
19,57,1,"67;79"
20,18,1,"96"
21,50,1,"9;52;117"
22,40,1,"96"
23,18,1,"123"
24,52,1,"31"
25,29,1,"1;17;51"
26,21,1,"9;36;122"
27,59,1,"121"
28,48,1,"1;69"
29,54,1,"89;118"
30,72,1,"98"
31,5,1,"43;90"
32,68,1,"68;78;95"
33,58,1,"94;96"
34,5,1,"89"
35,35,1,"20;26;50"
36,55,1,"0"
37,48,1,"110"
38,22,1,"51;66"
39,7,1,"11;42;120"
40,7,1,"42;55"
41,35,1,"27;61"
42,22,1,"47"
43,60,1,"39;82"
44,51,1,"20;69"
45,51,1,"95"
46,79,1,"17;52"
47,69,1,"112;126"
48,50,1,"97"
49,21,1,"102"
50,9,1,"90;92"
51,73,1,"25;40;102"
52,64,1,"12;16;25"
53,47,1,"94;98"
54,57,1,"69"
55,35,1,"59"
56,69,1,"65;82;117"
57,31,1,"21"
58,27,1,"19;85"
59,28,1,"42;81;116"
60,53,1,"98;114"
61,78,1,"62"
62,61,1,"113;118;122"
63,13,1,"89;94;112"
64,11,1,"26;87;110"
65,42,1,"43;122"
66,45,1,"75"
67,47,1,"45"
68,30,1,"15;102;118"
69,4,1,"34;79;120"
70,66,1,"6;26;93"
71,15,1,"66"
72,5,1,"34;49;51"
73,37,1,"43;79;116"
74,79,1,"86;122"
75,75,1,"61;66"
76,61,1,"0"
77,75,1,"55"
78,31,1,"75"
79,75,1,"93;107"
80,64,1,"1;45;105"
81,79,1,"122"
82,35,1,"6;24;29"
83,44,1,"32;91;115"
84,23,1,"18;21;124"
85,78,1,"36"
86,79,1,"30;46;97"
87,36,1,"4"
88,51,1,"79;125"
89,64,1,"1;97;104"
90,56,1,"46"
91,21,1,"82"
92,52,1,"72;98"
93,37,1,"60;79"
94,35,1,"48;84;99"
95,3,1,"66;70"
96,51,1,"64;84"
97,35,1,"53;117"
98,56,1,"33;76;95"
99,76,1,"4;52;71"
100,61,1,"42;118"
101,77,1,"3"
102,77,1,"30;38"
103,25,1,"88;125"
104,69,1,"15;48"
105,12,1,"13;32;48"
106,39,1,"15"
107,71,1,"104"
108,27,1,"32"
109,2,1,"34;100;116"
110,23,1,"64;98;114"
111,43,1,"12;39"
112,59,1,"40"
113,51,1,"64;72;91"
114,2,1,"53"
115,14,1,"110;127"
116,20,1,"51;90;114"
117,6,1,"122"
118,59,1,"25;51;59"
119,75,1,"126"
120,24,1,"9;110"
121,42,1,"28;86;98"
122,76,1,"124"
123,66,1,"18;39;86"
124,48,1,"8;66;90"
125,43,1,"49;82;107"
126,18,1,"56"
127,17,1,"58"
128,2,1,"7;30;49"
129,3,1,"14;127"
130,4,1,"16;67"
