lecturer,timeslots
0,"6;34"
1,"43"
2,"44"
3,"3;29;40"
4,"20;23;36;41"
5,"4;24;32"
6,"29;31"
7,"4;20;26;36;43"
8,"8;31"
9,"11;22;40"
10,""
11,"15;21"
12,"36;39"
13,"11;16;19;21;27"
14,"30"
15,"7;15;28;30"
16,""
17,"13;31"
18,"30;39"
19,"11;17;29;34;43"
20,"7;25"
21,"6;8;26;30;43"
22,"24;39"
23,"22"
24,"6"
25,"6;22;28"
26,""
27,"12;14"
28,"27;29;33;36"
29,"25"
30,"2"
31,"32;33"
32,"8;25;32;35;39"
33,"4;7;24;25"
34,"3;41"
35,"7;11;33"
36,"5;22;27;33;42"
37,""
38,""
39,"13;23;28;40;43"
40,"7;12;18;39"
41,"4;24;34"
42,"2;8;42"
43,"7;23;27;43"
44,"24;31;34"
45,"23"
46,"12;38"
47,"19;23;24;30"
48,"12;28;29;30;42"
49,"11;22;24;26;27"
50,"12;31;33"
51,"1;6;13;18;28"
52,"26"
53,"22;30;34;36;37"
54,"8;9;12"
55,""
56,"14;22;31"
57,"10"
58,"1;4;15"
59,"4;15;18;19;29"
60,"27;31"
61,"1;5;18;22;41"
62,"27"
63,"28;36"
64,"10;26"
65,"7"
66,"9;12;37"
67,""
68,"6;32"
69,"14;28;34;35;43"
70,"9;33;43;44"
71,"12;18;25"
72,""
73,"9"
74,"12;13;16;34;36"
75,"18;28"
76,""
77,"8;32;38;42;43"
78,"6;25;42"
79,"12;35;38;42"
