group,timeslots
0,"4"
1,"42"
2,"22"
3,"12;16"
4,"0;25;30;31;41"
5,"20;25"
6,""
7,"3;40"
8,""
9,"1"
10,"11;16;25;36;37"
11,"3;21;29"
12,"3"
13,""
14,"1;7;15;16;29"
15,"0;3;18"
16,"4;14;26;27"
17,"5"
18,"14;20"
19,"0;8;30;36;43"
20,""
21,"10;36"
22,"33"
23,"34;39"
24,"9;11;12;18;30"
25,""
26,"7;17;18;32;44"
27,"3"
28,"12;18;35"
29,""
30,"2;14"
31,"27;29"
32,"15;26"
33,"2;7;20"
34,"32"
35,"2;17;18;29"
36,"19"
37,""
38,""
39,""
40,"17;35"
41,"0;16;21;26;40"
42,"30"
43,"4;8;18;23;44"
44,"5;9;20"
45,""
46,"7;13;15;36;41"
47,"6;7;11;16;28"
48,"12;24;31;33"
49,"3"
50,"2;11;25;38"
51,"10;22;24;40"
52,"28"
53,""
54,"38"
55,"35;36"
56,"23"
57,"6;17"
58,"8;12;30;39;41"
59,"7;9;30;37"
60,"35;37;39"
61,"11"
62,"31;37;43"
63,"26"
